application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
asylum; withholding_of_removal; CAT,2019-06-28,Mexico,Ellen Liebowitz; Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-09-13,Bangladesh,Edward R. Grant,remand,,,,,male
,2019-05-17,,Ana Landazabal Mann,sustain,,,,,male
,2014-05-05,Mexico,Anne J. Greer; Gabriel Gonzalez,terminate,,,,,male
,2019-05-24,El Salvador,Ellen Liebowitz; Gabriel Gonzalez; Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
withholding_of_removal; CAT,2019-05-03,Philippines,Michael P. Baird; Anne J. Greer,sustain,,,,,female
,2019-12-02,,Earle B. Wilson,remand,,,,,male
,2019-06-05,Syria,Ellen Liebowitz; Gabriel Gonzalez,remand,religion; nationality,,,,male
,2019-09-10,Mexico,Mark Noferi; Anne J. Greer,return,,,,,male
,2019-06-04,Mexico,Edward F. Kelly,terminate,,,,,male
,2014-05-29,,Anne J. Greer,remand,nationality,,,,male
,2019-04-18,Canada,Anne J. Greer,dismiss,,,,,male
,2014-01-23,Philippines,Charles Adkins-Blanch,remand,,,,,female
,2014-03-28,Mexico,Charles Adkins-Blanch,sustain,,,,,female
,2019-03-25,Guatemala,Anne J. Greer,remand,,,,,male
,2014-11-26,Mexico,Charles Adkins-Blanch,remand,,,,,male
withholding_of_removal; CAT,2019-05-10,Honduras,Mark Noferi,remand,political,,,,male
withholding_of_removal; CAT,2018-11-05,El Salvador,Edward R. Grant,remand,,,,,male
,2019-11-21,,Ana Landazabal Mann,sustain,,,,,male
,2019-08-20,China,Mark Noferi,sustain,,,,,male
,2019-09-30,,Hugh Mullane,dismiss,,,,,male
,2014-04-03,Jamaica,Charles Adkins-Blanch; Edward R. Grant,deny,nationality,,,,male
,2019-07-25,,Michael P. Baird; Ana Landazabal Mann; Michael J. Creppy; Garry D. Malphrus,remand,,family-based,daughter,,female
,2019-02-05,El Salvador,Charles Adkins-Blanch,remand,,,,,unkown
,2019-08-14,Honduras,Anne J. Greer; Gabriel Gonzalez,remand,,,,,male
,2019-06-06,Nigeria,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,female
,2014-01-30,Jamaica,Garry D. Malphrus,deny,,,,,male
withholding_of_removal; CAT,2019-10-23,Gambia,Earle B. Wilson; Anne J. Greer,sustain,social,family-based,family; daughter,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
asylum; withholding_of_removal; CAT,2019-12-13,Myanmar,Ellen Liebowitz; Mark Noferi; Michael J. Creppy,remand,,,,,male
,2019-12-16,,Charles Adkins-Blanch,grant,,,,,male
,2014-10-01,,Anne J. Greer,sustain,,,,,male
withholding_of_removal,2019-01-04,Somalia,Charles Adkins-Blanch; Edward F. Kelly,remand,,family-based,child; family,,male
,2019-07-02,Mexico,Anne J. Greer,grant,,,,,female
,2014-02-07,Mexico,Charles Adkins-Blanch,grant,,,,,male
asylum; withholding_of_removal; CAT,2019-03-07,Honduras,Charles Adkins-Blanch; Edward F. Kelly,remand,social,family-based; gang-based,family; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2019-07-25,,Edward R. Grant,sustain,,,,,female
asylum; withholding_of_removal,2019-06-24,,Ellen Liebowitz; Michael J. Creppy; Michael P. Baird,sustain,,,,,male
,2019-05-02,Vietnam,Ellen Liebowitz; Hugh Mullane,remand,,,,,male
,2014-02-19,,Earle B. Wilson,terminate,,,,,male
asylum; withholding_of_removal; CAT,2019-05-30,Mexico,Anne J. Greer; Gabriel Gonzalez,deny,social,,,,male
,2019-06-28,Mexico,Mark Noferi; Anne J. Greer,dismiss,,,,,male
,2019-04-22,Cuba,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2019-05-14,Mexico,Edward R. Grant; Gabriel Gonzalez,grant,,,,,male
,2019-04-01,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,female
,2014-05-29,Mexico,Charles Adkins-Blanch; Gabriel Gonzalez,deny,,,,,male
,2019-02-21,Ecuador,Charles Adkins-Blanch; Ellen Liebowitz; Edward F. Kelly,remand,,,,,male
,2019-12-06,Dominican Republic,Garry D. Malphrus,remand,,,,,male
,2014-03-24,Ghana,Charles Adkins-Blanch,dismiss,nationality,,,,male
,2019-08-30,Jamaica,Kevin W. Riley; Mark Noferi; Garry D. Malphrus; Michael J. Creppy,remand,,family-based,child; family,,male
asylum,2019-02-12,Georgia,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,political,,,,male
,2019-07-12,,Anne J. Greer; Mark Noferi,sustain,,,,,unkown
asylum; withholding_of_removal; CAT,2019-05-08,Honduras,Anne J. Greer,remand,social; political,gang-based; family-based,gang; child,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2014-02-27,,Charles Adkins-Blanch,deny,,,,,male
,2019-11-07,Thailand,Earle B. Wilson; William A. Cassidy,remand,,family-based,husband,,female
asylum; withholding_of_removal; CAT,2019-09-23,Jamaica,Anne J. Greer; Mark Noferi,remand,social; political,gang-based; family-based,gang; family,,male
,2014-05-29,,Anne J. Greer,remand,,family-based,husband; child,,female
withholding_of_removal,2019-02-22,Mexico,Blair O'Connor,remand,social,family-based,husband,,female
,2019-09-19,Mexico,Mark Noferi,remand,,family-based,wife; daughter,,male
,2019-12-13,Liberia,Earle B. Wilson,remand,,family-based,child,,male
,2019-04-30,Mexico,Anne J. Greer,sustain,nationality,,,,male
,2014-01-13,Georgia,Garry D. Malphrus,dismiss,,,,,male
,2019-07-29,Colombia,Michael J. Creppy,dismiss,,,,,male
,2019-08-05,,Charles Adkins-Blanch,return,,,,,unkown
,2019-12-30,Cameroon,Edward R. Grant,remand,,,,,male
,2019-06-24,Mexico,Edward R. Grant,remand,,,,,male
,2019-03-08,,Edward R. Grant,remand,,family-based,partner; daughter,,female
,2014-04-03,Guatemala,Hugh Mullane,dismiss,,,,,female
,2006-09-29,Mexico,Edward F. Kelly,remand,,,,,male
,2014-02-21,,Ellen Liebowitz; Garry D. Malphrus,dismiss,,,,,male
CAT,2019-01-24,Dominican Republic,Edward F. Kelly,remand,,gang-based; family-based,gang; family,,male
,2014-04-09,,Ana Landazabal Mann; Anne J. Greer,grant,,,,,male
,2019-02-05,Guatemala,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2019-08-09,Mexico,Blair O'Connor,remand,,,,,male
asylum; withholding_of_removal,2019-07-09,Honduras,Blair O'Connor,remand,social,family-based; gang-based,family; gang,,male
asylum; withholding_of_removal; CAT,2019-02-28,Mexico,Anne J. Greer,remand,religion; social,gender-based; family-based,gay; transgendered; child,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
withholding_of_removal,2019-12-10,South Korea,Ellen Liebowitz; Keith E. Hunsucker; Michael J. Creppy,remand,nationality,,,,female
,2019-05-30,Guatemala,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,female
,2014-03-20,Dominican Republic,Gabriel Gonzalez,remand,,,,,female
,2019-11-27,,Earle B. Wilson,dismiss,,,,,male
,2019-11-08,,Blair O'Connor,terminate,,,,,female
asylum,2019-11-06,El Salvador,Ellen Liebowitz,remand,political; social; nationality,family-based; gang-based,partner; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
asylum; withholding_of_removal; CAT,2019-12-19,El Salvador,Anne J. Greer,,social; political,gang-based; gender-based; family-based,gang; gay; child,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
asylum,2019-12-18,Cameroon,Ellen Liebowitz; William A. Cassidy,remand,political,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2014-02-18,South Korea,Charles Adkins-Blanch,grant,,,,,male
asylum,2020-06-24,Venezuela,Keith E. Hunsucker; Ana Landazabal Mann; Michael J. Creppy; Ellen Liebowitz,remand,political,family-based,family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2020-01-10,,Ana Landazabal Mann,remand,,family-based,son,,female
asylum,2020-05-11,Malta,Earle B. Wilson,sustain,,,,,female
asylum; withholding_of_removal; CAT,2020-09-30,China,Edward F. Kelly; Philip J. Montante Jr.,remand,,,,,male
CAT,2020-02-06,El Salvador,Mark Noferi; Anne J. Greer,remand,,gang-based,gang,,male
asylum; withholding_of_removal; CAT,2020-09-17,Guatemala,Edward F. Kelly; Edward R. Grant,remand,race,family-based,family,,female
,2020-02-24,China,Keith E. Hunsucker; Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
,2020-02-10,Ecuador,Earle B. Wilson; Anne J. Greer,sustain,nationality,,,,female
asylum; withholding_of_removal; CAT,2020-02-27,Honduras,Gabriel Gonzalez,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-09-03,Mexico,Megan Foote Monsky; Deborah K. Goodwin,remand,social,gender-based; family-based,transgender; woman,,female
asylum; withholding_of_removal; CAT,2020-01-15,Cuba,Anne J. Greer,remand,,,,,male
asylum,2020-02-18,Guatemala,Edward F. Kelly; Hugh Mullane,remand,,,,,male
,2020-08-03,Mexico,Edward R. Grant; Stephanie E. Gorman; Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-02-24,Honduras,Earle B. Wilson; William A. Cassidy,remand,,family-based; gang-based,husband; woman; gang,,female
asylum; withholding_of_removal; CAT,2020-07-02,Russia,Megan Foote Monsky,remand,religion; nationality,,,,male
,2020-03-12,Indonesia,Ellen Liebowitz; Mark Noferi,grant,nationality,,,,male
,2020-02-13,Dominican Republic,Blair O'Connor; Anne J. Greer,terminate,nationality,gang-based,gang,,male
,2020-02-05,India,Anne J. Greer; Deborah K. Goodwin,remand,nationality,,,,male
asylum; withholding_of_removal; CAT,2020-04-14,,Edward F. Kelly,remand,social,gang-based,gang,,female
asylum; withholding_of_removal; CAT,2020-05-15,Nicaragua,Ellen Liebowitz,remand,political,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2020-08-27,Mexico,Keith E. Hunsucker; Ellen Liebowitz,remand,,,,,female
,2020-02-27,,Keith E. Hunsucker; Garry D. Malphrus,sustain,,,,,male
,2020-07-22,Mexico,Edward F. Kelly,remand,nationality,,,,male
,2020-03-13,,Deborah K. Goodwin,remand,,,,,female
,2020-05-11,Mexico,Earle B. Wilson; Anne J. Greer,remand,social; political,,,,male
,2020-10-05,,Michael P. Baird; Anne J. Greer,sustain,,,,,male
,2020-02-12,,Ana Landazabal Mann; Stephanie E. Gorman,terminate,,,,,female
,2020-02-19,Jamaica,Anne J. Greer,remand,nationality,,,,male
,2020-07-17,Venezuela,Earle B. Wilson; William A. Cassidy,remand,,,,,male
,2020-06-01,,Edward F. Kelly; V. Stuart Couch,sustain,,,,,female
,2020-02-14,Guatemala,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2020-02-27,,Earle B. Wilson; Anne J. Greer,remand,,,,,male
,2020-05-27,,Edward F. Kelly,remand,,,,,female
,2020-06-12,,Edward R. Grant; Stephanie E. Gorman; Hugh Mullane,remand,,,,,male
CAT,2020-04-21,Russia,Ellen Liebowitz; Keith E. Hunsucker,remand,,family-based,son,,male
,2020-06-29,Mexico,Ellen Liebowitz; Michael J. Creppy,remand,nationality,,,,male
,2020-01-17,Mexico,Blair O'Connor,remand,,,,,male
,2020-01-17,,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2020-03-11,Mexico,Blair O'Connor; Mark Noferi,sustain,,family-based,family,,male
asylum; withholding_of_removal; CAT,2020-03-10,Guatemala,Keith E. Hunsucker; Garry D. Malphrus; Mark Noferi,remand,race; social,family-based,woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2020-04-22,Iraq,Ellen Liebowitz; Keith E. Hunsucker,remand,,,,,male
,2020-02-20,,Earle B. Wilson,remand,,,,,male
,2020-05-18,Guatemala,Ana Landazabal Mann; Hugh Mullane,remand,,,,,female
,2020-03-06,Honduras,Blair O'Connor; Gabriel Gonzalez; Mark Noferi,remand,social; nationality,family-based; gang-based,family; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018); Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",male
,2020-06-16,,William A. Cassidy,terminate,,,,,unkown
,2020-03-02,,Ana Landazabal Mann; Edward R. Grant; Hugh Mullane,remand,,,,,male
,2020-09-04,Georgia,David H. Wetmore,remand,,,,,male
,2020-06-05,Venezuela,Anne J. Greer,sustain,,,,,female
,2020-06-03,El Salvador,Ellen Liebowitz,remand,,,,,male
,2020-08-06,Cuba,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2020-07-02,El Salvador,Ana Landazabal Mann; Edward R. Grant; Stephanie E. Gorman,remand,,,,,male
,2020-07-02,,Edward F. Kelly; S. Kathleen Pepper,sustain,,,,,male
,2020-03-12,Mexico,Mark Noferi,remand,,family-based,son,,male
,2020-05-28,India,Hugh Mullane,sustain,,,,,male
,2020-06-19,Russia,Charles Adkins-Blanch; Edward F. Kelly; S. Kathleen Pepper,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-08-03,Jordan,Charles Adkins-Blanch; V. Stuart Couch; S. Kathleen Pepper,remand,social,gender-based; family-based,lgbt; lgbtq; lgbti; gay; family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2020-04-13,Dominican Republic,Blair O'Connor,dismiss,,,,,male
,2020-02-28,Bangladesh,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2020-08-20,Honduras,Anne J. Greer; Deborah K. Goodwin,grant,,,,,female
,2020-07-07,,Charles Adkins-Blanch; V. Stuart Couch,remand,nationality,family-based,son; child; family,,male
,2020-03-18,Peru,Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-07-13,Guatemala,Earle B. Wilson,remand,social,family-based,partner; woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2020-04-22,Mexico,Keith E. Hunsucker; William A. Cassidy,sustain,race; nationality,,,,male
,2020-02-25,,Charles Adkins-Blanch,dismiss,,,,,male
,2020-08-06,Dominican Republic,Anne J. Greer,remand,,family-based,child,,male
,2020-07-08,,Keith E. Hunsucker; Michael J. Creppy,grant,,,,,male
,2020-01-31,Mexico,Blair O'Connor,sustain,,,,,male
,2020-08-31,Mexico,Keith E. Hunsucker; Michael J. Creppy; Ellen Liebowitz,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-07-16,Guinea,Blair O'Connor; Mark Noferi,remand,,,,,male
,2020-05-27,Honduras,Keith E. Hunsucker; Michael J. Creppy; Ellen Liebowitz,remand,,,,,female
,2020-02-12,,Charles Adkins-Blanch; William A. Cassidy,remand,,,,,male
,2020-09-09,Mexico,Blair O'Connor,remand,,,,,female
,2020-08-31,,Ellen Liebowitz; Edward R. Grant; S. Kathleen Pepper,sustain,,,,,male
,2020-03-19,Poland,Anne J. Greer,dismiss,,,,,male
withholding_of_removal; CAT,2020-02-28,,Keith E. Hunsucker; Michael J. Creppy; Hugh Mullane,remand,social,,,,female
,2020-03-05,Cuba,William A. Cassidy,deny,,,,,female
withholding_of_removal; CAT,2020-02-27,Honduras,Blair O'Connor; Anne J. Greer,remand,,gang-based,gang,,male
,2020-03-18,Mexico,Earle B. Wilson; Stephanie E. Gorman,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-06-22,China,Megan Foote Monsky,remand,,,,,female
,2020-05-18,Indonesia,Earle B. Wilson; Deborah K. Goodwin,remand,nationality,,,,female
,2020-06-30,Dominican Republic,Megan Foote Monsky,terminate,,,,,male
,2020-02-06,El Salvador,Blair O'Connor,remand,,,,,male
,2020-04-01,,William A. Cassidy,remand,,,,,female
asylum; withholding_of_removal; CAT,2020-01-13,Venezuela,Ellen Liebowitz; Mark Noferi; Michael J. Creppy,remand,,,,,male
,2020-08-21,Honduras,Ana Landazabal Mann; Edward R. Grant; Stephanie E. Gorman,remand,,,,,female
asylum; withholding_of_removal; CAT,2020-08-27,Cuba,Megan Foote Monsky; S. Kathleen Pepper,remand,political,,,,male
,2020-08-19,,Edward R. Grant; Hugh Mullane,terminate,,,,,male
,2020-07-09,Germany,Anne J. Greer,dismiss,,,,,male
,2020-08-13,Jamaica,Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-09-30,El Salvador,Anne J. Greer,sustain,social,family-based; gang-based,partner; gang,,female
withholding_of_removal,2020-06-23,Honduras,Kevin W. Riley,remand,religion,family-based,family; wife,,male
asylum; withholding_of_removal; CAT,2020-05-11,El Salvador,Anne J. Greer,remand,social; political,family-based,partner,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
asylum; withholding_of_removal; CAT,2020-09-23,China,Edward F. Kelly; William A. Cassidy,sustain,,,,,male
,2020-05-28,,Earle B. Wilson,sustain,,,,,male
,2020-01-09,,Charles Adkins-Blanch; Ana Landazabal Mann; Hugh Mullane,sustain,,,,,female
,2020-10-05,Mexico,Earle B. Wilson; Michael P. Baird; Anne J. Greer,sustain,,,,,male
,2020-02-03,Liberia,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-04-27,Bangladesh,Blair O'Connor,deny,political,,,,male
,2020-08-28,Mexico,Ellen Liebowitz,terminate,,,,,male
asylum; withholding_of_removal; CAT,2020-02-11,Cuba,Ellen Liebowitz,remand,political,,,,male
,2020-05-21,Kenya,Earle B. Wilson; Anne J. Greer,remand,,,,,female
asylum; withholding_of_removal; CAT,2020-06-30,Cuba,Megan Foote Monsky; Blair O'Connor,remand,,,,,male
asylum; withholding_of_removal,2000-10-12,Iran,Kevin W. Riley,grant,religion; political,family-based,family,,male
asylum; withholding_of_removal,2020-01-07,Yemen,Ellen Liebowitz; Mark Noferi; Hugh Mullane,remand,religion; social; political,,,,male
asylum; withholding_of_removal; CAT,2020-06-05,Georgia,William A. Cassidy,sustain,,,,,male
,2020-03-30,Honduras,Deborah K. Goodwin,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2020-10-08,Honduras,Megan Foote Monsky; Deborah K. Goodwin; Stephanie E. Gorman,remand,social,gender-based; gang-based,gay; gang,,male
,2020-09-21,Mexico,Megan Foote Monsky,remand,,family-based,daughter,,male
asylum; withholding_of_removal; CAT,2020-06-05,El Salvador,Stephanie E. Gorman; Hugh Mullane,remand,,,,,female
,2020-04-06,Mexico,Keith E. Hunsucker,remand,,,,,male
,2020-05-20,Indonesia,Keith E. Hunsucker,deny,nationality,,,,female
,2006-06-30,Mexico,Charles Adkins-Blanch,remand,,family-based,daughter,,female
CAT,2020-06-25,Georgia,Deborah K. Goodwin,remand,,gang-based,gang,,female
,2020-01-23,Honduras,Edward F. Kelly; Ana Landazabal Mann,sustain,,,,,male
withholding_of_removal,2020-08-20,Mexico,Blair O'Connor; Anne J. Greer,remand,,family-based,family,,female
,2020-07-16,Guatemala,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,female
asylum; withholding_of_removal; CAT,2020-07-27,Colombia,Earle B. Wilson; Anne J. Greer,grant,,gender-based,homosexual,,male
,2009-07-20,Bangladesh,Earle B. Wilson; Anne J. Greer,,,family-based,husband; child; woman,,female
asylum; withholding_of_removal; CAT,2020-09-24,Nepal,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,male
,2009-02-26,Guatemala,Edward F. Kelly,remand,,family-based,son; child,,female
,2020-03-10,Haiti,Ellen Liebowitz,sustain,,,,,male
,2010-09-22,,Anne J. Greer; Gabriel Gonzalez,,race,,,,male
asylum; withholding_of_removal; CAT,2020-06-26,Mexico,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2020-04-08,Guatemala,William A. Cassidy,,,,,,male
asylum; withholding_of_removal,2010-05-20,Peru,Anne J. Greer,remand,social,family-based,child; parent,,male
,2020-08-20,Cuba,William A. Cassidy,sustain,,,,,male
asylum; withholding_of_removal; CAT,2020-01-02,Pakistan,Earle B. Wilson; Anne J. Greer,remand,nationality; political,family-based,family,,male
,2020-08-18,,Charles Adkins-Blanch,remand,,,,,unkown
,2010-12-16,Germany,Garry D. Malphrus,dismiss,political,,,,female
,2020-01-09,Guatemala,Ana Landazabal Mann; Deborah K. Goodwin,sustain,,,,,unkown
,2020-02-05,Guatemala,Deborah K. Goodwin,dismiss,,,,,male
,2010-08-09,Mexico,Hugh Mullane,dismiss,,family-based,child; wife,,male
,2020-09-28,Mexico,Ellen Liebowitz,remand,,,,,female
,2020-07-16,Mexico,Keith E. Hunsucker; Ellen Liebowitz,grant,,family-based,child; wife; daughter,,male
,2020-03-13,,Anne J. Greer; Deborah K. Goodwin,remand,,,,,male
,2010-11-04,Nigeria,Garry D. Malphrus,sustain,,,,,male
,2020-08-13,Dominican Republic,Earle B. Wilson; Deborah K. Goodwin; S. Kathleen Pepper,deny,,,,,male
,2010-04-27,,Hugh Mullane; Garry D. Malphrus; Philip J. Montante Jr.,remand,,,,,male
,2020-01-31,,Ana Landazabal Mann,grant,,,,,male
asylum; withholding_of_removal; CAT,2020-06-23,Cameroon,Megan Foote Monsky; Ellen Liebowitz,remand,,,,,female
CAT,2020-02-24,Honduras,Anne J. Greer; Stephanie E. Gorman,remand,nationality,,,,male
,2011-04-22,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2020-09-10,Dominican Republic,Earle B. Wilson; Blair O'Connor,sustain,,,,,male
,2020-07-24,,Charles Adkins-Blanch; William A. Cassidy; S. Kathleen Pepper,remand,,,,,male
,2020-01-17,,Blair O'Connor,remand,,family-based,son,,male
,2020-09-16,Zimbabwe,Charles Adkins-Blanch,remand,,,,,female
,2020-10-07,,Megan Foote Monsky; Blair O'Connor,remand,,,,,female
asylum; withholding_of_removal; CAT,2020-05-22,India,Keith E. Hunsucker; Ellen Liebowitz,remand,,,,,male
,2011-04-25,Russia,Anne J. Greer,dismiss,,,,,female
,2020-05-18,Poland,Earle B. Wilson; Anne J. Greer,remand,,,,,male
CAT,2020-09-22,El Salvador,Earle B. Wilson; Deborah K. Goodwin; S. Kathleen Pepper,remand,,gang-based,gang,,male
,2011-02-18,Mexico,Anne J. Greer,grant,,,,,male
,2020-07-23,,Ana Landazabal Mann; Hugh Mullane,remand,,,,,male
,2011-04-26,Georgia,Earle B. Wilson,deny,,,,,male
asylum; withholding_of_removal; CAT,2018-06-04,India,Stephanie E. Gorman,remand,nationality,,,,male
,2020-05-20,Mexico,William A. Cassidy,sustain,,,,,male
,2020-03-20,,Edward F. Kelly,return,,,,,male
,2020-08-07,Liberia,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2011-03-18,Jamaica,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-06-09,Cuba,Anne J. Greer,sustain,political,,,,male
,2011-01-03,,Garry D. Malphrus; Hugh Mullane,deny,,,,,male
,2020-06-05,Cuba,Ana Landazabal Mann; Hugh Mullane,sustain,,,,,female
,2020-03-19,Mexico,Anne J. Greer,remand,,,,,male
,2020-04-22,Mexico,Blair O'Connor,remand,,family-based,son,,male
,2011-12-15,Jamaica,Anne J. Greer,terminate,,,,,male
asylum; withholding_of_removal; CAT,2020-08-27,Mexico,Megan Foote Monsky; Anne J. Greer,remand,,family-based,child; family,,female
,2020-02-19,China,Earle B. Wilson; Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-03-23,Turkey,Ellen Liebowitz; Keith E. Hunsucker; William A. Cassidy,remand,nationality; race; political,,,,male
,2020-07-21,Mexico,Earle B. Wilson; Anne J. Greer,sustain,,,,,male
,2011-02-16,Mexico,Ellen Liebowitz; Gabriel Gonzalez,remand,,,,,male
,2020-04-01,El Salvador,Stephanie E. Gorman,remand,,,,,male
,2020-01-27,Mexico,Mark Noferi,remand,,family-based,parent,,male
,2020-07-31,,Earle B. Wilson; Anne J. Greer,remand,,,,,male
,2020-10-07,,Kevin W. Riley,terminate,,,,,male
,2020-01-03,El Salvador,Edward F. Kelly,remand,,,,,female
,2011-01-25,Honduras,Charles Adkins-Blanch,sustain,nationality,,,,male
asylum,2020-02-06,Honduras,Michael J. Creppy,remand,social; nationality,gang-based,gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2020-06-17,Mexico,Ellen Liebowitz; Keith E. Hunsucker; Michael J. Creppy,remand,social,,,,male
,2020-06-30,Vietnam,Earle B. Wilson,remand,,,,,female
,2011-02-11,Mexico,Ellen Liebowitz,remand,,,,,male
asylum; withholding_of_removal; CAT,2020-04-30,Cameroon,Earle B. Wilson; Deborah K. Goodwin,remand,social; political,,,,male
,2011-11-30,India,Charles Adkins-Blanch,terminate,,,,,male
,2020-09-28,,Hugh Mullane,grant,,,,,unkown
asylum; withholding_of_removal; CAT,2011-08-12,Ethiopia,Anne J. Greer,sustain,political,family-based,parent,,male
,2020-01-22,Somalia,Earle B. Wilson; Anne J. Greer; Deborah K. Goodwin,terminate,,,,,male
,2020-07-08,,Kevin W. Riley,grant,,,,,female
,2011-01-11,Jamaica,Charles Adkins-Blanch,terminate,nationality,,,,female
CAT,2020-01-17,Mexico,Mark Noferi,remand,,gender-based; family-based,transgender; woman,,female
,2020-06-10,Dominican Republic,Keith E. Hunsucker; Megan Foote Monsky; Michael J. Creppy,sustain,,,,,male
,2020-02-26,Mexico,Blair O'Connor,remand,,family-based,child; partner; parent,,female
asylum,2020-09-22,Cuba,Ana Landazabal Mann; Edward R. Grant; Hugh Mullane,remand,political,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2011-12-08,Dominican Republic,Charles Adkins-Blanch,remand,,,,,male
,2020-03-26,Guatemala,Ana Landazabal Mann; Hugh Mullane,sustain,,,,,female
asylum,2020-07-31,Cameroon,Garry D. Malphrus; Hugh Mullane,remand,political,,,,female
CAT,2020-09-22,Honduras,S. Kathleen Pepper,remand,,family-based,family,,male
,2011-10-11,Georgia,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2020-07-22,India,Charles Adkins-Blanch; Edward F. Kelly; V. Stuart Couch,grant,,,,,male
,2020-03-03,,Charles Adkins-Blanch; V. Stuart Couch,remand,,,,,male
,2020-07-02,Indonesia,Earle B. Wilson,remand,,,,,male
,2011-04-11,Colombia,Gabriel Gonzalez,remand,,,,,male
,2020-05-22,El Salvador,Ana Landazabal Mann; Stephanie E. Gorman,sustain,,family-based,family,,male
,2011-07-01,Ecuador,Garry D. Malphrus,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2020-02-28,Honduras,Blair O'Connor,remand,social; political,gang-based; family-based,gang; woman; child; daughter,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2011-10-24,Jamaica,Hugh Mullane; Philip J. Montante Jr.,dismiss,,,,,male
CAT,2020-08-03,Mexico,Blair O'Connor; Anne J. Greer,remand,,family-based,child,,male
,2011-01-25,,Garry D. Malphrus,deny,,,,,male
,2020-07-24,,Earle B. Wilson; Blair O'Connor,sustain,,family-based,child,,male
asylum; withholding_of_removal; CAT,2020-05-15,Cuba,Garry D. Malphrus,remand,,,,,male
,2020-07-07,Mexico,Anne J. Greer,sustain,,,,,male
,2020-09-14,Jamaica,Anne J. Greer,remand,,,,,male
,2020-05-27,,Charles Adkins-Blanch,sustain,,,,,male
,2011-03-21,Mexico,Charles Adkins-Blanch,remand,nationality,,,,male
asylum; withholding_of_removal; CAT,2020-06-25,,Gabriel Gonzalez; S. Kathleen Pepper,sustain,political,,,,male
,2011-07-07,,Ellen Liebowitz; Michael J. Creppy; Edward R. Grant,grant,,,,,female
,2020-09-22,,Megan Foote Monsky,remand,,,,,male
,2020-08-14,,Kevin W. Riley; Edward R. Grant; Hugh Mullane,remand,,,,,female
,2011-06-20,Jamaica,Charles Adkins-Blanch,grant,,,,,female
